Word,Value
aahed,4.50149E-08
aalii,2.95508E-10
aargh,3.47427E-08
aarti,1.02705E-07
abaca,4.17237E-08
abaci,2.96828E-08
aback,2.69934E-06
abacs,3.10592E-10
abaft,1.12803E-07
abaka,5.20032E-09
abamp,1.42296E-10
aband,1.84232E-08
abase,9.61391E-08
abash,2.58236E-08
abask,2.0224E-09
abate,8.46822E-07
abaya,8.43995E-08
abbas,1.46863E-06
abbed,2.30272E-09
abbes,3.52233E-08
abbey,6.3934E-06
abbot,3.5446E-06
abcee,1.1574E-10
abeam,9.05451E-08
abear,1.63753E-08
abele,9.32704E-08
abers,1.94093E-08
abets,5.77145E-08
abhor,5.68669E-07
abide,4.43753E-06
abies,1.65266E-07
abled,1.53001E-07
abler,1.11448E-07
ables,9.48671E-08
ablet,2.82233E-09
ablow,2.32595E-08
abmho,1.37395E-10
abode,3.33246E-06
abohm,3.47881E-10
aboil,4.70608E-09
aboma,1.14291E-09
aboon,2.51492E-08
abord,1.40555E-07
abore,1.92531E-09
abort,7.51498E-07
about,0.001446756
above,0.000202801
abram,2.43122E-06
abray,3.67576E-09
abrim,8.36364E-09
abrin,2.25894E-08
abris,7.68731E-09
absey,2.23017E-09
absit,1.80707E-08
abuna,2.52374E-08
abune,2.18987E-08
abuse,3.48896E-05
abuts,1.26488E-07
abuzz,1.92715E-07
abyes,1.20862E-10
abysm,2.19192E-08
abyss,3.55745E-06
acais,2.67845E-10
acari,9.2609E-08
accas,8.24918E-10
accoy,2.04574E-10
acerb,4.64374E-09
acers,1.33963E-08
aceta,2.02121E-09
achar,5.81903E-08
ached,4.53653E-06
aches,1.64668E-06
achoo,3.44058E-08
acids,1.65051E-05
acidy,8.11673E-09
acing,4.97416E-08
acini,1.21206E-07
ackee,3.59175E-08
acker,4.43135E-07
acmes,4.65393E-09
acmic,4.76943E-10
acned,6.70343E-09
acnes,1.03386E-07
acock,2.2513E-08
acold,3.74621E-09
acorn,8.80211E-07
acred,1.30913E-08
acres,9.16221E-06
acrid,8.95141E-07
acros,1.87758E-08
acted,1.76734E-05
actin,1.7913E-06
acton,8.74246E-07
actor,1.78577E-05
acute,3.28558E-05
acyls,3.97963E-09
adage,9.83202E-07
adapt,1.09998E-05
adaws,2.0032E-09
adays,1.67238E-08
adbot,1.42594E-10
addax,1.78118E-08
added,0.000102823
adder,7.37006E-07
addio,5.63244E-08
addle,6.20205E-08
adeem,7.99255E-09
adept,2.5461E-06
adhan,3.0622E-08
adieu,1.21154E-06
adios,1.3868E-07
adits,2.23574E-08
adman,3.64458E-08
admen,1.51535E-08
admin,1.81044E-06
admit,2.81908E-05
admix,1.29177E-08
adobe,1.86302E-06
adobo,1.28317E-07
adopt,1.80159E-05
adore,2.04567E-06
adorn,1.08027E-06
adown,1.00145E-07
adoze,5.80574E-10
adrad,2.89248E-09
adred,9.19784E-10
adsum,1.11775E-08
aduki,9.55668E-09
adult,4.75474E-05
adunc,2.03296E-10
adust,1.37306E-08
advew,6.68634E-11
adyta,3.87719E-09
adzed,5.0428E-09
adzes,6.19118E-08
aecia,3.53639E-09
aedes,4.33398E-07
aegis,8.62897E-07
aeons,2.57262E-07
aerie,2.01658E-07
aeros,4.55755E-08
aesir,8.47625E-08
afald,2.14721E-10
afara,6.02546E-09
afars,9.93782E-09
afear,3.09223E-09
affix,5.53433E-07
afire,4.17398E-07
aflaj,1.0743E-08
afoot,1.00162E-06
afore,1.29249E-06
afoul,3.69345E-07
afrit,4.90581E-08
afros,3.21965E-08
after,0.000846269
again,0.000460676
agama,9.1871E-08
agami,1.31313E-08
agape,1.09221E-06
agars,1.95516E-08
agast,7.7614E-09
agate,4.59084E-07
agave,5.82439E-07
agaze,3.99966E-09
agene,5.04284E-09
agent,5.33124E-05
agers,1.42666E-07
agger,9.2055E-08
aggie,9.79344E-07
aggri,4.066E-10
